Modelo,1-step,1-step,1-step,1-step,2-step,2-step,2-step,2-step,3-step,3-step,3-step,3-step
,R2,COR,MAE,RMSE,R2,COR,MAE,RMSE,R2,COR,MAE,RMSE
dt,0.45147717055702774,0.7402345052935123,35500.603879719136,46848.597545908655,0.5693808306365622,0.7777330340789975,30606.793444049126,41509.348789311785,0.4396353164323302,0.672016348284731,35154.026326901134,45020.62618231724
dt_wf,0.7073145876318603,0.8571332224639534,22795.632976672616,33287.03700264203,0.5735074134858457,0.7697914891999146,25970.64976063322,40181.88841532512,0.569620298185507,0.7852662605375917,27118.781913108898,40076.718623019464
rf,0.6714595244512973,0.8645261378538849,25366.986826700784,36257.15150778663,0.640286364798099,0.8428578822635784,26006.397671223105,37938.284660966514,0.6020897702316531,0.8102119350126693,26173.523325722963,37937.499718313244
rf_wf,0.7517997811895603,0.8794874195693154,19556.552264293365,30653.190207327014,0.6043430128069663,0.7903315397830126,25460.650548803304,38702.05447442941,0.6710942208466566,0.8321807359715493,21999.234344838023,35034.9915830531
gbr,0.6611108614104556,0.8533784731145075,26186.134269738326,36823.75442371445,0.6043733196126827,0.8020366498807903,27550.317823731537,39787.07628841139,0.6131329257389483,0.8014390291525758,25823.413310352942,37407.35812871958
gbr_wf,0.7575010238371036,0.8779877706484815,20035.027874907246,30299.087878239738,0.5588161887354663,0.7556146504081704,27279.120126368372,40868.09404647723,0.6400089109528407,0.8092185971967011,22808.922061440368,36653.22059150284
ridge,0.8196081383043397,0.9154568024870086,20049.690505487426,26866.290783544082,0.6927014925213573,0.8525444409361823,26314.702435773386,35065.45399510647,0.7106081130004999,0.8483622037025399,21901.58803457856,32353.355424413818
ridge_wf,0.8373888731453087,0.9197469233418949,18167.30590731904,24811.31198641394,0.6954562663310725,0.8384822166165541,25519.23618714836,33954.66374430896,0.7483077136388725,0.8683317629846233,19692.40686534887,30647.935021303452
elasticnet,0.8194677568047393,0.915402835022903,20060.885425360637,26876.74246546789,0.6929312372570167,0.8525260885389127,26305.916698022585,35052.34359989381,0.7106380195880047,0.8482929318521517,21902.97266303796,32351.683636955502
elasticnet_wf,0.8372759027394157,0.9196898563294184,18174.376116850915,24819.92903922141,0.6953362270076353,0.8384260307679484,25513.67984691764,33961.35489052552,0.7481405764911758,0.8678199803360277,19788.61251804629,30658.10926702667
poly_ridge,0.7203995335775548,0.8858356914166406,23431.999918035708,33447.848422159725,0.583050030212513,0.7934639407603278,26631.155482526647,40845.21759301941,0.30858471746282057,0.7472556596834535,29254.582566567387,50008.708669199914
poly_ridge_wf,0.8049191671740641,0.9107421333144158,19337.41380738522,27175.77264619078,0.6796370952352503,0.8373233294982033,23723.013220498975,34825.367770999095,0.34440298750103937,0.7845321830957876,27564.8173911462,49463.489148603505
knn,0.6581707020786994,0.8454365968345197,26248.49266438575,36983.14856895239,0.5218028373605342,0.7716635459090694,30825.54068040724,43742.41314006626,0.603160540754421,0.8125988169003308,26754.722222222226,37886.42070760094
knn_wf,0.730425281533489,0.8634716159167548,21579.997849888252,31945.830293383322,0.5493864644785802,0.7514150523408966,28428.49640066121,41302.53581948707,0.6264780770632563,0.8203914285104282,23964.05134159745,37335.70132185153
svr,0.8229882478384876,0.9313444590568574,18482.2154726899,26613.39569047405,0.5138728674377476,0.7664725376789194,29371.200730530734,44103.613271615955,0.731908576510995,0.8614451366114607,20051.75447906386,31139.928662081227
svr_wf,0.770487656385458,0.8906168638535329,18896.331742559894,29476.61600716323,0.5643531181779302,0.7835547778690009,26952.629218033282,40610.83367973429,0.748103725888362,0.8736665214557429,18745.245177776273,30660.352042916435
